ID|COD_SKU_SAP|UND_ORDEN|FECHA
24|262|69|1/07/2018
24|262|77|1/08/2018
24|262|79|1/09/2018
24|262|88|1/10/2018
24|262|89|1/11/2018
24|262|106|1/12/2018
24|262|82|1/01/2019
24|262|102|1/02/2019
24|262|126|1/03/2019
24|262|110|1/04/2019
24|262|98|1/05/2019
24|262|95|1/06/2019
24|262|112|1/07/2019
24|262|152|1/08/2019
24|262|157|1/09/2019
24|262|158|1/10/2019
24|262|168|1/11/2019
24|262|175|1/12/2019
24|262|102|1/01/2020
24|262|109|1/02/2020
24|262|139|1/03/2020
24|262|88|1/04/2020
24|262|93|1/05/2020
24|262|55|1/06/2020
24|262|55|1/07/2020
24|262|63|1/08/2020
24|262|30|1/09/2020
24|262|45|1/10/2020
24|262|51|1/11/2020
24|262|53|1/12/2020
24|262|63|1/01/2021
24|262|58|1/02/2021
24|262|52|1/03/2021
24|262|35|1/04/2021
24|262|39|1/05/2021
24|262|43|1/06/2021
24|262|42|1/07/2021
24|262|42|1/08/2021
24|262|46|1/09/2021
24|262|56|1/10/2021
24|262|70|1/11/2021
24|262|97|1/12/2021
24|262|141|1/01/2022
24|262|1|1/02/2022
24|262|76|1/03/2022
24|262|118|1/04/2022
24|262|163|1/05/2022
24|262|298|1/06/2022
24|262|310|1/07/2022
24|262|62|1/08/2022
24|262|105|1/09/2022
24|262|176|1/10/2022
24|262|283|1/11/2022
24|262|335|1/12/2022
24|262|227|1/01/2023
24|262|209|1/02/2023
24|262|442|1/03/2023
24|262|430|1/04/2023
24|262|300|1/05/2023
24|262|207|1/06/2023
24|262|199|1/07/2023
25|266|11|1/01/2018
25|266|17|1/02/2018
25|266|9|1/03/2018
25|266|12|1/04/2018
25|266|14|1/05/2018
25|266|14|1/06/2018
25|266|8|1/07/2018
25|266|17|1/08/2018
25|266|17|1/09/2018
25|266|18|1/10/2018
25|266|8|1/11/2018
25|266|21|1/12/2018
25|266|12|1/01/2019
25|266|27|1/02/2019
25|266|28|1/03/2019
25|266|28|1/04/2019
25|266|53|1/05/2019
25|266|22|1/06/2019
25|266|24|1/07/2019
25|266|36|1/08/2019
25|266|32|1/09/2019
25|266|32|1/10/2019
25|266|26|1/11/2019
25|266|33|1/12/2019
25|266|18|1/01/2020
25|266|25|1/02/2020
25|266|25|1/03/2020
25|266|25|1/04/2020
25|266|41|1/05/2020
25|266|48|1/06/2020
25|266|72|1/07/2020
25|266|69|1/08/2020
25|266|67|1/09/2020
25|266|51|1/10/2020
25|266|34|1/11/2020
25|266|179|1/12/2020
25|266|38|1/01/2021
25|266|25|1/02/2021
25|266|38|1/03/2021
25|266|37|1/04/2021
25|266|55|1/05/2021
25|266|60|1/06/2021
25|266|65|1/07/2021
25|266|92|1/08/2021
25|266|84|1/09/2021
25|266|85|1/10/2021
25|266|75|1/11/2021
25|266|98|1/12/2021
25|266|77|1/01/2022
25|266|63|1/02/2022
25|266|63|1/03/2022
25|266|38|1/04/2022
25|266|43|1/05/2022
25|266|48|1/06/2022
25|266|75|1/07/2022
25|266|59|1/08/2022
